iter	Logloss
0	0.6827692859
1	0.6725425258
2	0.6619427938
3	0.6527372093
4	0.6433580394
5	0.6342317394
6	0.6260723171
7	0.6178709958
8	0.6100421525
9	0.6028023149
10	0.5959467979
11	0.5898211366
12	0.5835152471
13	0.5782556522
14	0.5729036504
15	0.5677978689
16	0.5634605779
17	0.558828797
18	0.5546660551
19	0.5504413881
20	0.5468488121
21	0.5434607934
22	0.5399256881
23	0.5366885008
24	0.5337115838
25	0.5305610033
26	0.527581127
27	0.524474605
28	0.5221756698
29	0.5198373249
30	0.5175166145
31	0.5155302641
32	0.5135177794
33	0.5114183332
34	0.5092091238
35	0.5076470821
36	0.5054603029
37	0.5033880811
38	0.5017462438
39	0.5002573312
40	0.4986207193
41	0.4973285329
42	0.4958558084
43	0.4945299989
44	0.493249112
45	0.4918273556
46	0.490597341
47	0.4893904563
48	0.4881017276
49	0.4868848445
50	0.4858860252
51	0.4849077546
52	0.4838279229
53	0.4830163214
54	0.4820326156
55	0.4813464711
56	0.4803901293
57	0.4795492974
58	0.4789157728
59	0.4780577441
60	0.4774218008
61	0.4767656251
62	0.4761600297
63	0.4756051175
64	0.4749041837
65	0.4739311713
66	0.4732090921
67	0.4726435041
68	0.4719430966
69	0.4714656211
70	0.4710514759
71	0.4705016576
72	0.4698969471
73	0.4694533066
74	0.4687852025
75	0.4683952027
76	0.4679224808
77	0.467382293
78	0.4669021683
79	0.4666222672
80	0.4662570143
81	0.465771123
82	0.4654068175
83	0.4649934983
84	0.4643831076
85	0.4638628684
86	0.4633751602
87	0.4628923487
88	0.4625341329
89	0.4622297478
90	0.4620053087
91	0.4614649063
92	0.4609932321
93	0.4606759623
94	0.4602785465
95	0.4598779561
96	0.4595696526
97	0.4593826953
98	0.4590019123
99	0.4587164338
100	0.4583903081
101	0.458089144
102	0.4577399066
103	0.4574201106
104	0.4569797224
105	0.4566877028
106	0.4563980626
107	0.4559813582
108	0.4557384999
109	0.4553596384
110	0.4550203841
111	0.4547376142
112	0.4544698108
113	0.4541024288
114	0.453741149
115	0.4534760247
116	0.4531264775
117	0.4528824876
118	0.4526598714
119	0.4523773192
120	0.4521651768
121	0.451973339
122	0.4517922921
123	0.4515360879
124	0.4512234112
125	0.4510187317
126	0.4506525765
127	0.4503909945
128	0.4500731949
129	0.4499013033
130	0.4496309778
131	0.4493329325
132	0.44923389
133	0.448940617
134	0.4487819237
135	0.4486339536
136	0.4484110519
137	0.4481291365
138	0.447907696
139	0.4476284494
140	0.4473756398
141	0.4472695555
142	0.4470274497
143	0.4467053339
144	0.4464935159
145	0.4463025581
146	0.4460925388
147	0.4457094761
148	0.4455312981
149	0.4453218791
150	0.4452358267
151	0.4451325276
152	0.444913286
153	0.4447589699
154	0.4445288545
155	0.4443617417
156	0.4441473665
157	0.4439623668
158	0.4438315767
159	0.4437228326
160	0.4435112524
161	0.4433451134
162	0.4432061245
163	0.4430002763
164	0.442813274
165	0.4426821496
166	0.4425220867
167	0.4421937903
168	0.4420329198
169	0.4419184157
170	0.4417798629
171	0.4416308917
172	0.4415137427
173	0.4413274526
174	0.4411773726
175	0.4410257175
176	0.4408581313
177	0.4406765557
178	0.4405650362
179	0.440354307
180	0.4401681948
181	0.4399709315
182	0.4397414575
183	0.4395419126
184	0.4394512718
185	0.4392492909
186	0.4391779111
187	0.4390777143
188	0.4389763883
189	0.4388333126
190	0.438732952
191	0.4386408848
192	0.4385232204
193	0.4383670791
194	0.4382081202
195	0.4381095974
196	0.4379082073
197	0.4377332804
198	0.4375527213
199	0.437497101
200	0.4373505684
201	0.4372240037
202	0.4370579757
203	0.437028114
204	0.4368742945
205	0.4366883352
206	0.4365719477
207	0.4362947098
208	0.4362136101
209	0.4360753514
210	0.4359345262
211	0.43579354
212	0.4356416292
213	0.4354732482
214	0.4353337478
215	0.4353164218
216	0.4351476363
217	0.4350111102
218	0.434899551
219	0.4347630388
220	0.4346202354
221	0.4344583598
222	0.4344030088
223	0.4342085348
224	0.4340825474
225	0.4340109341
226	0.4338623606
227	0.4337797843
228	0.4336427603
229	0.4334944689
230	0.4333049296
231	0.4332056149
232	0.4330938728
233	0.432866338
234	0.4326836518
235	0.4325526473
236	0.4325508858
237	0.4323668274
238	0.4322208864
239	0.4321106872
240	0.4319279177
241	0.4318703847
242	0.4317019151
243	0.4315448971
244	0.431444013
245	0.4312774848
246	0.4312063344
247	0.4311233078
248	0.4310421271
249	0.4309225989
250	0.4308288799
251	0.430701323
252	0.4306295677
253	0.4305355691
254	0.4304503945
255	0.430286722
256	0.4302112268
257	0.4300923892
258	0.430000191
259	0.4298810568
260	0.4297843583
261	0.4297338006
262	0.4296081115
263	0.4295426522
264	0.4293497835
265	0.4292548452
266	0.4291554284
267	0.429059512
268	0.4290431209
269	0.4288168504
270	0.4286322561
271	0.4285098334
272	0.4284334836
273	0.4283689091
274	0.4282611369
275	0.4281911054
276	0.4280863912
277	0.4279731451
278	0.4279134988
279	0.4278546236
280	0.4277550101
281	0.4276082288
282	0.4275333941
283	0.4273059379
284	0.4271455822
285	0.4270366114
286	0.4269367786
287	0.4268221237
288	0.4266470316
289	0.426553284
290	0.4264579692
291	0.4262884368
292	0.4261324549
293	0.4260196029
294	0.425894679
295	0.425801198
296	0.4255602328
297	0.4253648662
298	0.4252406295
299	0.4251471417
300	0.424928685
301	0.4248137632
302	0.4247098091
303	0.4245989986
304	0.4244868744
305	0.424375294
306	0.424167339
307	0.4240521893
308	0.4239517055
309	0.4237155219
310	0.4236297408
311	0.4234818647
312	0.423444183
313	0.4233209493
314	0.4230952922
315	0.4229185129
316	0.4228831063
317	0.422821695
318	0.4227788356
319	0.422595361
320	0.422460916
321	0.4223374732
322	0.4222067042
323	0.422079725
324	0.4219620661
325	0.4219377209
326	0.4217208582
327	0.4216021972
328	0.4213077921
329	0.421199065
330	0.4211561728
331	0.4209091182
332	0.4206434671
333	0.4205772669
334	0.4203531316
335	0.4202512721
336	0.4201119377
337	0.4199881128
338	0.4198612983
339	0.4197535257
340	0.4195951771
341	0.4194880677
342	0.4193406382
343	0.4191746816
344	0.4191233907
345	0.4189738378
346	0.4188156258
347	0.4186312076
348	0.4185607982
349	0.4184694297
350	0.4183481614
351	0.4182421941
352	0.418173018
353	0.4180551642
354	0.4178156236
355	0.417681942
356	0.4175434873
357	0.4173873349
358	0.417304764
359	0.4171346773
360	0.4169931949
361	0.4167873194
362	0.4166174888
363	0.4163888347
364	0.4162550267
365	0.4161065779
366	0.4160214223
367	0.4160071036
368	0.4157829175
369	0.4155835217
370	0.4154222649
371	0.4153033015
372	0.4151451837
373	0.41498267
374	0.4148826313
375	0.4146217041
376	0.4144511099
377	0.4142947852
378	0.4141380153
379	0.4139900885
380	0.4137803668
381	0.4136963037
382	0.4135251695
383	0.4133400415
384	0.4131388103
385	0.4130411489
386	0.412859999
387	0.4125805267
388	0.4124381114
389	0.412260234
390	0.4122246278
391	0.4120350063
392	0.4119656398
393	0.4117189787
394	0.411558336
395	0.4115465106
396	0.4113318294
397	0.4112017466
398	0.4110818023
399	0.4109792806
400	0.4109045208
401	0.4108925224
402	0.4107441765
403	0.4106528947
404	0.4106428732
405	0.4104846056
406	0.4102556998
