iter	Passed	Remaining
0	15	15971
1	28	14163
2	41	13734
3	54	13456
4	66	13303
5	79	13090
6	91	12965
7	103	12863
8	118	12993
9	131	12988
10	144	12992
11	157	12945
12	170	12930
13	188	13283
14	204	13447
15	219	13475
16	232	13422
17	248	13540
18	264	13662
19	278	13643
20	293	13668
21	309	13740
22	322	13695
23	338	13774
24	355	13874
25	368	13811
26	380	13721
27	396	13752
28	409	13702
29	421	13642
30	435	13599
31	447	13537
32	460	13484
33	473	13446
34	485	13399
35	498	13359
36	511	13323
37	529	13397
38	545	13434
39	558	13392
40	570	13351
41	583	13305
42	596	13273
43	609	13237
44	624	13251
45	637	13211
46	650	13183
47	662	13142
48	675	13101
49	688	13087
50	702	13063
51	714	13032
52	728	13010
53	740	12977
54	753	12947
55	765	12912
56	778	12879
57	791	12855
58	803	12821
59	821	12875
60	835	12861
61	853	12905
62	868	12924
63	883	12921
64	896	12897
65	909	12873
66	921	12837
67	936	12833
68	949	12806
69	961	12779
70	976	12775
71	989	12748
72	1001	12723
73	1016	12714
74	1029	12698
75	1041	12666
76	1054	12645
77	1067	12612
78	1079	12586
79	1092	12559
80	1104	12530
81	1121	12551
82	1140	12596
83	1158	12629
84	1176	12659
85	1189	12640
86	1207	12669
87	1221	12654
88	1236	12660
89	1251	12650
90	1263	12625
91	1277	12607
92	1292	12606
93	1305	12583
94	1318	12560
95	1333	12553
96	1350	12573
97	1366	12577
98	1383	12594
99	1401	12617
100	1418	12629
101	1436	12644
102	1454	12662
103	1470	12670
104	1483	12642
105	1496	12619
106	1509	12595
107	1527	12619
108	1540	12593
109	1553	12571
110	1566	12542
111	1578	12516
112	1591	12494
113	1604	12467
114	1617	12446
115	1630	12426
116	1643	12406
117	1656	12381
118	1672	12380
119	1689	12391
120	1707	12403
121	1724	12411
122	1737	12390
123	1754	12395
124	1767	12374
125	1780	12350
126	1793	12329
127	1806	12305
128	1818	12280
129	1831	12255
130	1843	12232
131	1857	12213
132	1874	12218
133	1887	12200
134	1900	12175
135	1914	12162
136	1930	12161
137	1948	12169
138	1965	12175
139	1983	12184
140	2001	12192
141	2013	12167
142	2028	12156
143	2041	12135
144	2054	12112
145	2067	12090
146	2080	12071
147	2093	12051
148	2105	12026
149	2121	12020
150	2133	11993
151	2145	11970
152	2159	11952
153	2171	11927
154	2184	11910
155	2197	11890
156	2213	11886
157	2230	11887
158	2249	11896
159	2266	11901
160	2280	11881
161	2296	11878
162	2309	11857
163	2322	11839
164	2335	11818
165	2347	11795
166	2360	11772
167	2373	11753
168	2389	11751
169	2405	11746
170	2420	11736
171	2436	11726
172	2451	11718
173	2466	11707
174	2481	11697
175	2493	11675
176	2507	11660
177	2526	11666
178	2538	11645
179	2552	11626
180	2565	11607
181	2577	11585
182	2591	11567
183	2604	11549
184	2616	11525
185	2628	11503
186	2640	11479
187	2652	11458
188	2665	11436
189	2677	11414
190	2690	11394
191	2702	11374
192	2715	11356
193	2728	11336
194	2741	11317
195	2753	11296
196	2766	11278
197	2779	11258
198	2793	11242
199	2804	11219
200	2818	11202
201	2830	11181
202	2843	11163
203	2855	11142
204	2868	11122
205	2880	11103
206	2893	11085
207	2906	11068
208	2922	11062
209	2940	11061
210	2953	11045
211	2967	11028
212	2981	11015
213	2995	11002
214	3008	10983
215	3019	10959
216	3032	10943
217	3045	10922
218	3057	10904
219	3070	10885
220	3085	10874
221	3098	10860
222	3111	10842
223	3125	10826
224	3137	10807
225	3150	10789
226	3163	10772
227	3175	10752
228	3188	10734
229	3201	10716
230	3213	10697
231	3225	10677
232	3238	10661
233	3251	10644
234	3264	10628
235	3277	10609
236	3284	10574
237	3297	10558
238	3310	10540
239	3322	10522
240	3335	10505
241	3347	10486
242	3360	10468
243	3373	10450
244	3385	10432
245	3397	10414
246	3410	10397
247	3422	10379
248	3435	10361
249	3452	10358
250	3467	10345
251	3480	10330
252	3492	10310
253	3510	10310
254	3523	10293
255	3536	10277
256	3548	10259
257	3561	10242
258	3573	10224
259	3586	10208
260	3600	10195
261	3615	10184
262	3628	10168
263	3641	10151
264	3654	10136
265	3667	10118
266	3680	10103
267	3692	10084
268	3703	10063
269	3715	10046
270	3728	10030
271	3741	10014
272	3753	9996
